Customer Type,Gender,Product Category,Unit Price,Quantity,Total,Date,Time,Payment,Discount,Rating
Regular,Male,Fruits,10000,10,100000,4/24/2024,18:55,Cash,30,9
Regular,Female,Bakery,22300,10,223000,4/24/2024,18:55,Cash,20,8
Regular,Female,Seafood,90900,12,1090800,4/24/2024,18:55,Cash,15,5
Regular,Female,Dairy Product,25800,13,335400,4/24/2024,18:56,Card,10,6
Member,Female,Snack,7900,10,79000,4/24/2024,18:56,Cash,30,9
Regular,Male,Beverages,17800,10,178000,4/24/2024,18:56,Cash,10,6
Regular,Female,Bakery,22300,11,245300,4/24/2024,18:56,Qris,20,8
Regular,Male,Kitchen Consumption,9300,11,102300,4/24/2024,18:56,Cash,30,9
Regular,Female,Bakery,24800,11,272800,4/24/2024,19:20,Cash,15,6
Regular,Female,Bakery,9800,9,88200,4/24/2024,19:20,Cash,15,6
Regular,Male,Snack,7900,5,39500,4/25/2024,8:31,Cash,5,5
Regular,Female,Seafood,69800,2,139600,4/25/2024,8:34,Card,5,3
Member,Male,Fruits,8400,5,42000,4/25/2024,8:35,Cash,0,4
Member,Female,Beverages,8700,11,95700,4/25/2024,8:41,Cash,5,4
Regular,Male,Meat,56000,1,56000,4/25/2024,8:44,Card,10,5
Member,Male,Snack,7900,7,55300,4/25/2024,8:48,Card,5,5
Regular,Male,Bakery,7900,2,15800,4/25/2024,9:01,Transfer,0,3
Regular,Female,Instant Food,10200,14,142800,4/25/2024,9:25,Transfer,15,5
Regular,Female,Kitchen Consumption,13400,5,67000,4/25/2024,9:26,Card,10,5
Member,Male,Dairy Product,43700,2,87400,4/25/2024,9:55,Qris,0,5
Regular,Male,Kitchen Consumption,29200,12,350400,4/25/2024,11:00,Cash,15,6
Member,Male,Vegetables,17600,10,176000,4/25/2024,11:13,Cash,20,7
Regular,Female,Snack,9000,13,117000,4/25/2024,11:17,Transfer,30,9
Member,Male,Beverages,11000,14,154000,4/25/2024,11:25,Cash,30,9
Member,Male,Dairy Product,43700,1,43700,4/25/2024,11:46,Qris,20,8
Regular,Male,Fruits,9600,12,115200,4/25/2024,12:04,Card,20,8
Member,Female,Vegetables,30700,11,337700,4/25/2024,12:13,Qris,20,7
Member,Male,Fruits,4000,11,44000,4/25/2024,12:36,Transfer,15,6
Member,Male,Dairy Product,34000,2,68000,4/25/2024,12:48,Qris,0,3
Regular,Female,Fruits,9600,13,124800,4/25/2024,13:05,Cash,15,6
Member,Male,Seafood,80700,9,726300,4/25/2024,13:30,Cash,10,5
Regular,Male,Fruits,7500,10,75000,4/25/2024,13:47,Cash,15,5
Member,Male,Dessert,11000,9,99000,4/25/2024,14:15,Transfer,10,6
Regular,Male,Fruits,10000,9,90000,4/25/2024,14:18,Card,10,6
Regular,Female,Fruits,8900,5,44500,4/25/2024,14:28,Cash,0,5
Regular,Female,Dairy Product,43700,2,87400,4/25/2024,15:23,Cash,5,4
Member,Female,Fruits,13100,11,144100,4/25/2024,15:24,Transfer,20,8
Member,Female,Instant Food,7100,10,71000,4/25/2024,15:30,Cash,10,5
Member,Male,Seafood,44000,10,440000,4/25/2024,15:50,Transfer,15,6
Regular,Male,Beverages,8700,13,113100,4/25/2024,16:30,Qris,15,6
Member,Female,Dairy Product,32800,12,393600,4/25/2024,16:43,Card,10,5
Regular,Male,Bakery,13200,8,105600,4/25/2024,16:44,Card,10,5
Regular,Female,Fruits,6300,11,69300,4/25/2024,16:45,Card,15,6
Member,Male,Snack,7700,14,107800,4/25/2024,17:39,Qris,5,5
Regular,Male,Meat,87900,4,351600,4/25/2024,17:58,Transfer,10,5
Regular,Male,Snack,7600,12,91200,4/25/2024,17:59,Qris,30,9
Member,Female,Vegetables,17600,10,176000,4/25/2024,18:14,Cash,10,6
Regular,Female,Fruits,7500,1,7500,4/25/2024,19:12,Qris,5,4
Member,Male,Vegetables,16900,1,16900,4/25/2024,19:55,Transfer,5,5
Regular,Male,Beverages,12000,10,120000,4/25/2024,20:28,Cash,10,5
Member,Female,Meat,56000,10,560000,4/25/2024,20:35,Cash,10,5
Regular,Female,Dessert,7400,3,22200,4/25/2024,20:38,Cash,0,5
Regular,Male,Dairy Product,34000,9,306000,4/25/2024,20:39,Cash,15,6
Member,Male,Meat,89600,11,985600,4/25/2024,20:42,Qris,5,3
Member,Female,Instant Food,7100,2,14200,4/25/2024,21:04,Cash,5,5
Member,Male,Vegetables,16900,2,33800,4/25/2024,21:25,Transfer,0,5
Member,Male,Dessert,8700,2,17400,4/25/2024,21:33,Transfer,0,5
Member,Female,Bakery,43000,7,301000,4/25/2024,21:38,Transfer,15,6
Regular,Male,Kitchen Consumption,13400,13,174200,4/25/2024,21:41,Qris,15,6
Member,Male,Instant Food,3400,13,44200,4/25/2024,21:57,Transfer,30,9
Member,Male,Bakery,9800,1,9800,4/26/2024,8:08,Cash,5,3
Regular,Male,Dessert,12300,9,110700,4/26/2024,8:28,Card,10,5
Member,Male,Kitchen Consumption,24000,8,192000,4/26/2024,8:53,Card,10,6
Regular,Female,Fruits,9500,2,19000,4/26/2024,8:59,Qris,0,4
Member,Male,Seafood,90900,1,90900,4/26/2024,9:34,Cash,0,5
Regular,Female,Dairy Product,22300,13,289900,4/26/2024,9:37,Transfer,15,6
Member,Female,Kitchen Consumption,29200,1,29200,4/26/2024,9:54,Cash,10,5
Regular,Male,Dairy Product,34000,3,102000,4/26/2024,9:59,Cash,0,3
Regular,Male,Vegetables,12000,11,132000,4/26/2024,10:02,Cash,5,5
Member,Female,Snack,12000,6,72000,4/26/2024,10:12,Cash,10,5
Regular,Female,Beverages,14500,5,72500,4/26/2024,10:28,Qris,0,4
Member,Female,Vegetables,30700,10,307000,4/26/2024,10:50,Card,10,6
Regular,Male,Fruits,8900,5,44500,4/26/2024,10:54,Qris,15,5
Member,Male,Bakery,13200,9,118800,4/26/2024,11:10,Transfer,15,6
Regular,Male,Snack,12000,5,60000,4/26/2024,11:49,Transfer,5,3
Member,Female,Kitchen Consumption,13100,10,131000,4/26/2024,11:53,Transfer,15,6
Member,Male,Seafood,80700,13,1049100,4/26/2024,12:33,Cash,10,6
Regular,Male,Snack,28000,7,196000,4/26/2024,12:37,Cash,30,10
Regular,Male,Vegetables,16900,8,135200,4/26/2024,12:38,Transfer,10,6
Member,Male,Beverages,7800,10,78000,4/26/2024,12:51,Qris,20,7
Member,Male,Dessert,21000,1,21000,4/26/2024,13:05,Transfer,10,6
Regular,Male,Instant Food,10300,4,41200,4/26/2024,13:07,Cash,0,4
Member,Female,Snack,8300,9,74700,4/26/2024,13:10,Qris,10,5
Regular,Female,Seafood,88700,14,1241800,4/26/2024,13:25,Qris,30,9
Regular,Male,Seafood,41200,2,82400,4/26/2024,13:30,Card,15,6
Member,Male,Beverages,12000,5,60000,4/26/2024,13:34,Card,10,5
Member,Female,Snack,7900,8,63200,4/26/2024,13:51,Card,10,6
Regular,Female,Dessert,19000,5,95000,4/26/2024,13:55,Transfer,5,5
Member,Female,Bakery,8000,11,88000,4/26/2024,13:59,Cash,15,6
Member,Female,Vegetables,29700,9,267300,4/26/2024,14:04,Cash,30,10
Regular,Male,Instant Food,10300,13,133900,4/26/2024,14:40,Qris,15,6
Regular,Male,Beverages,12000,11,132000,4/26/2024,15:33,Card,30,9
Member,Male,Instant Food,15800,10,158000,4/26/2024,15:46,Qris,10,6
Member,Male,Snack,7900,8,63200,4/26/2024,15:49,Card,10,5
Regular,Male,Vegetables,11700,12,140400,4/26/2024,16:15,Qris,15,6
Member,Male,Fruits,9600,9,86400,4/26/2024,16:23,Cash,30,9
Regular,Male,Bakery,12000,11,132000,4/26/2024,16:38,Cash,5,5
Member,Female,Instant Food,15800,10,158000,4/26/2024,17:19,Cash,30,10
Member,Female,Seafood,67800,10,678000,4/26/2024,17:25,Card,10,6
Regular,Male,Bakery,9800,5,49000,4/26/2024,17:52,Card,5,4
Member,Male,Seafood,41200,2,82400,4/26/2024,18:38,Transfer,5,4
Regular,Male,Snack,8300,2,16600,4/26/2024,18:39,Cash,15,6
Regular,Female,Bakery,21400,1,21400,4/26/2024,18:51,Card,30,10
Regular,Female,Snack,7600,6,45600,4/26/2024,18:56,Cash,0,5
Regular,Male,Vegetables,30700,13,399100,4/26/2024,19:20,Qris,30,9
Member,Female,Dairy Product,25800,14,361200,4/26/2024,19:32,Qris,30,9
Regular,Female,Seafood,41900,5,209500,4/26/2024,19:37,Cash,10,5
Member,Female,Fruits,12300,14,172200,4/26/2024,21:11,Cash,30,9
Member,Female,Bakery,8000,1,8000,4/26/2024,21:25,Cash,10,6
Regular,Male,Bakery,22300,14,312200,4/27/2024,8:14,Cash,15,5
Member,Male,Vegetables,9200,10,92000,4/27/2024,8:20,Card,10,5
Regular,Male,Vegetables,9200,14,128800,4/27/2024,8:47,Card,20,8
Member,Male,Fruits,9500,12,114000,4/27/2024,9:22,Qris,20,8
Regular,Male,Dessert,14400,9,129600,4/27/2024,10:25,Qris,15,5
Member,Female,Dessert,17000,13,221000,4/27/2024,10:53,Card,30,9
